freq_MHz,Re_S11,Im_S11,Mag_S11,S11_dB
7.000000000000000000e+02,-9.700086806823073893e-01,2.206770617823940184e-01,9.947940521514697654e-01,-4.533640060170387315e-02
7.050000000000000000e+02,-9.690967997371888742e-01,2.237337891841826298e-01,9.945880633124316583e-01,-4.713514636808484315e-02
7.100000000000000000e+02,-9.681403205764187447e-01,2.268784027264036940e-01,9.943688902763877513e-01,-4.904942893411783772e-02
7.149999999999998863e+02,-9.671355567343717929e-01,2.301168068911393638e-01,9.941352674126783251e-01,-5.109038259528953657e-02
7.200000000000000000e+02,-9.660784063740797123e-01,2.334554383420648360e-01,9.938857725884635563e-01,-5.327052503460083521e-02
7.250000000000000000e+02,-9.649642939356462001e-01,2.369013261362383216e-01,9.936188036142575841e-01,-5.560396676696370555e-02
7.300000000000001137e+02,-9.637881019279883610e-01,2.404621601063602343e-01,9.933325504889947144e-01,-5.810665820593781394e-02
7.350000000000000000e+02,-9.625440908968461162e-01,2.441463686969515268e-01,9.930249625605308550e-01,-6.079668233748582867e-02
7.400000000000000000e+02,-9.612258051804123404e-01,2.479632077642461019e-01,9.926937095345504947e-01,-6.369460266533782944e-02
7.450000000000000000e+02,-9.598259614652244753e-01,2.519228621213451258e-01,9.923361349674073573e-01,-6.682387880169454730e-02
7.500000000000000000e+02,-9.583363164661937716e-01,2.560365619177997210e-01,9.919492005625489828e-01,-7.021136498645876023e-02
7.550000000000000000e+02,-9.567475091230523976e-01,2.603167163461310718e-01,9.915294191411555547e-01,-7.388791094621985356e-02
7.600000000000000000e+02,-9.550488715444445109e-01,2.647770675871089496e-01,9.910727735935164207e-01,-7.788908971539626469e-02
7.649999999999998863e+02,-9.532282014123309999e-01,2.694328684614600289e-01,9.905746183782209169e-01,-8.225608389544897259e-02
7.700000000000000000e+02,-9.512714865996546587e-01,2.743010878655449125e-01,9.900295591656536054e-01,-8.703677085932079449e-02
7.750000000000000000e+02,-9.491625701880306298e-01,2.794006487987769072e-01,9.894313049399265925e-01,-9.228705939254430723e-02
7.800000000000000000e+02,-9.468827406952636805e-01,2.847527046194996969e-01,9.887724851626353839e-01,-9.807254632480602585e-02
7.850000000000000000e+02,-9.444102278460390076e-01,2.903809601012733999e-01,9.880444223057709419e-01,-1.044705833775466941e-01
7.900000000000000000e+02,-9.417195782431762030e-01,2.963120448605269242e-01,9.872368469500785171e-01,-1.115728739869594477e-01
7.950000000000000000e+02,-9.387808772453738460e-01,3.025759477543642495e-01,9.863375383919266159e-01,-1.194887604975824330e-01
7.999999999999998863e+02,-9.355587724433368502e-01,3.092065217297451096e-01,9.853318678373752526e-01,-1.283494185561834533e-01
8.050000000000000000e+02,-9.320112391775771110e-01,3.162420691336395029e-01,9.842022130859331419e-01,-1.383132548473736678e-01
8.100000000000000000e+02,-9.280880079174844699e-01,3.237260171623679295e-01,9.829272020999594295e-01,-1.495729169487499954e-01
8.150000000000001137e+02,-9.237285445919969362e-01,3.317076911091894065e-01,9.814807264715075252e-01,-1.623644861140593754e-01
8.200000000000000000e+02,-9.188594345911909045e-01,3.402431878309595259e-01,9.798306422043639996e-01,-1.769796598681005750e-01
8.250000000000000000e+02,-9.133909639065571628e-01,3.493963406794009519e-01,9.779370408294726369e-01,-1.937820801270288829e-01
8.300000000000000000e+02,-9.072126089530239135e-01,3.592397451949645992e-01,9.757499230699920867e-01,-2.132294857465567572e-01
8.349999999999998863e+02,-9.001870284039853454e-01,3.698557733780371004e-01,9.732060312225070398e-01,-2.359041658367629912e-01
8.400000000000000000e+02,-8.921419784887100191e-01,3.813374275918990364e-01,9.702244809651819901e-01,-2.625554267294078481e-01
8.450000000000000000e+02,-8.828593218157838596e-01,3.937887442298335094e-01,9.667006554250053840e-01,-2.941597390894468700e-01
8.500000000000001137e+02,-8.720599311055159397e-01,4.073241988205453801e-01,9.624975461706675173e-01,-3.320073805117709775e-01
8.550000000000000000e+02,-8.593827498616448679e-01,4.220660883586306311e-01,9.574332842042405645e-01,-3.778295756238321257e-01
8.600000000000000000e+02,-8.443554927602653359e-01,4.381379839094046713e-01,9.512628927371382659e-01,-4.339888812915092542e-01
8.650000000000000000e+02,-8.263533782403570394e-01,4.556506936554413634e-01,9.436511327593133380e-01,-5.037706886335268086e-01
8.700000000000000000e+02,-8.045408729536458470e-01,4.746740509947727782e-01,9.341313991836494024e-01,-5.918405926011396367e-01
8.750000000000000000e+02,-7.777899468198010702e-01,4.951818837058164502e-01,9.220424606949452206e-01,-7.049815784738705515e-01
8.800000000000000000e+02,-7.445679346870531790e-01,5.169461307607260414e-01,9.064296505921622948e-01,-8.533179305466456199e-01
8.850000000000001137e+02,-7.027926195777857155e-01,5.393345235605082610e-01,8.858889289506031162e-01,-1.052414514125601608e+00
8.900000000000000000e+02,-6.496731166100905286e-01,5.609270487495330304e-01,8.583206349987919648e-01,-1.327008928381044672e+00
8.950000000000000000e+02,-5.816245492506203485e-01,5.788028329021028817e-01,8.205484968400630352e-01,-1.717914915310841728e+00
9.000000000000000000e+02,-4.945424790769838430e-01,5.872803073245274064e-01,7.677697721210443582e-01,-2.295379809974104290e+00
9.050000000000000000e+02,-3.852071629993721880e-01,5.759726329641220444e-01,6.929134378475049205e-01,-3.186420324019354933e+00
9.100000000000000000e+02,-2.554458344635307521e-01,5.278584050469499189e-01,5.864188521214844796e-01,-4.635841529933107275e+00
9.150000000000000000e+02,-1.208019019691256857e-01,4.210768180966514840e-01,4.380625369256754831e-01,-7.169277721286492877e+00
9.199999999999998863e+02,-1.961780657882812584e-02,2.428694270914402153e-01,2.436604542199835854e-01,-1.226429901069772832e+01
9.250000000000000000e+02,-2.518136748289201681e-03,1.649819109153970523e-02,1.668925768199546605e-02,-3.555125959569333816e+01
9.300000000000000000e+02,-8.896632247589071618e-02,-1.942030061469844915e-01,2.136113623649497639e-01,-1.340751300279880276e+01
9.350000000000001137e+02,-2.419446860930297705e-01,-3.332491671061589833e-01,4.118157822444440952e-01,-7.705940273818956854e+00
9.400000000000000000e+02,-4.053842869068703947e-01,-3.928348704185046225e-01,5.644959304438917913e-01,-4.966783692747751999e+00
9.450000000000000000e+02,-5.456339960119322985e-01,-3.970131811989581205e-01,6.747858353949540700e-01,-3.416680847514038000e+00
9.500000000000000000e+02,-6.542600846909751855e-01,-3.720289845229773351e-01,7.526365814555120437e-01,-2.468293537538861937e+00
9.549999999999998863e+02,-7.348896157997162337e-01,-3.351208472788196335e-01,8.076934627017408053e-01,-1.855068643823229113e+00
9.600000000000000000e+02,-7.940288854002256480e-01,-2.953871922463745525e-01,8.471926960220568237e-01,-1.440355942123573652e+00
9.650000000000001137e+02,-8.375364447180834171e-01,-2.570140960678641284e-01,8.760842093135731146e-01,-1.149082947813767852e+00
9.699999999999998863e+02,-8.698587337891855453e-01,-2.216519481004654291e-01,8.976546122234635439e-01,-9.378146666379716390e-01
9.750000000000000000e+02,-8.941709266186089744e-01,-1.897472920114189054e-01,9.140818786277563612e-01,-7.802980143483261299e-01
