freq_MHz,S11_dB
4.999999999999999432e+02,-1.344560744113369732e-02
5.275000000000000000e+02,-1.760414001163366007e-02
5.550000000000000000e+02,-2.410159529358951030e-02
5.825000000000000000e+02,-3.535115882086805467e-02
6.100000000000000000e+02,-5.791425852426038828e-02
6.375000000000000000e+02,-1.150372568415747448e-01
6.650000000000000000e+02,-3.405020231721170854e-01
6.925000000000000000e+02,-3.428516049158807810e+00
7.200000000000000000e+02,-1.269271978748439444e+00
7.475000000000001137e+02,-2.562403744600207922e-01
7.750000000000000000e+02,-1.150112456008704487e-01
8.025000000000000000e+02,-7.109093338244215632e-02
8.300000000000000000e+02,-5.234530612602746047e-02
8.575000000000000000e+02,-4.297074586591651674e-02
8.850000000000001137e+02,-3.788292898505233458e-02
9.125000000000000000e+02,-3.503827915326872267e-02
9.400000000000000000e+02,-3.349209036485291391e-02
9.675000000000002274e+02,-3.276753625636985578e-02
9.949999999999998863e+02,-3.260886883076503928e-02
1.022500000000000114e+03,-3.287069600322933827e-02
1.050000000000000000e+03,-3.346469735671825374e-02
1.077500000000000000e+03,-3.433366095521839939e-02
1.105000000000000000e+03,-3.543882455229768053e-02
1.132500000000000000e+03,-3.675349459960011722e-02
1.160000000000000000e+03,-3.825956587779750367e-02
1.187500000000000000e+03,-3.994542969035763669e-02
1.215000000000000000e+03,-4.180461830602565793e-02
1.242500000000000000e+03,-4.383489430253167257e-02
1.270000000000000000e+03,-4.603763957894431436e-02
1.297500000000000000e+03,-4.841746567419941832e-02
1.325000000000000000e+03,-5.098201437060823071e-02
1.352500000000000000e+03,-5.374196705122665646e-02
1.380000000000000000e+03,-5.671132485243159799e-02
1.407500000000000227e+03,-5.990802651602664813e-02
1.435000000000000000e+03,-6.335491368753574937e-02
1.462500000000000000e+03,-6.708097261108016129e-02
1.490000000000000000e+03,-7.112276768394254489e-02
1.517500000000000000e+03,-7.552608204308838835e-02
1.545000000000000000e+03,-8.034793646423439573e-02
1.572500000000000000e+03,-8.565928852295687235e-02
1.599999999999999773e+03,-9.154881109812164353e-02
